Frequency                 400000000   Hz
ContextSwitchingtime      6000       Cycles
PowerConsumption          0.06        W

Task      Cycles                Memory
Scenario  S1        S2        S1        S2

Task1	93120	93120	14502	14502
Task2	117539	111416	19350	9443
Task3	205490	252740	20825	20736
Task4	0	455537	0	25575
Task5	515318	410432	23810	23003
Task6	431667	400113	26708	24743
Task7	307758	223530	21015	21207
Task8	348818	285740	13824	21135
Task9	196985	185012	16256	16922
Task10	128681	130712	22125	25797
Task11	27065	27065	6000	6000
Task3_8	472112	643556	20825	21135
Task5_6	774318	1014386	26708	24743
Task5_9	633509	744516	23810	23003
Task7_8	533473	704917	21015	21207

