Frequency                 550000000   Hz
ContextSwitchingtime      4000        Cycles
PowerConsumption          0.095       W

Task      Cycles                Memory
Scenario  S1        S2        S1        S2

Task1	100737	100737	12835	12835
Task2	147604	143121	21100	23060
Task3	253044	293638	23600	28340
Task4	0	528470	0	29475
Task5	610620	483706	25490	22648
Task6	584594	492723	23745	21310
Task7	354814	267835	18120	19820
Task8	420597	401485	29040	33472
Task9	244464	211836	28205	24608
Task10	181542	186888	19060	22275
Task11	34794	34794	3200	3200
Task3_8	572423	813314	29040	33472
Task5_6	961376	1257010	25490	22648
Task5_9	757298	884400	28205	24608
Task7_8	633485	874376	29040	33472

