Frequency                 1000000000   Hz
ContextSwitchingtime      25000        Cycles
PowerConsumption          0.15         W

Task      Cycles                Memory
Scenario  S1        S2        S1        S2

Task1	190526	190526	18378	17730
Task2	273626	269775	18249	16220
Task3	472527	555984	43096	45360
Task4	0	960795	0	42880
Task5	1114166	902385	20275	28384
Task6	941035	941035	9340	22950
Task7	685872	506425	7066	7581
Task8	774764	654202	21274	25667
Task9	437986	387664	27976	24373
Task10	302257	303920	36560	30925
Task11	59697	59697	2200	2200
Task3_8	1058280	1450801	43096	45360
Task5_6	1678787	2243408	20275	28384
Task5_9	1376958	1609556	27976	28384
Task7_8	1186287	1578808	21274	25667
